Order Date,Segment,Market,Sales,Profit
2012-07-31,Consumer,US,2309.65,762.1845
2013-02-05,Corporate,APAC,3709.395,-288.765
2013-10-17,Consumer,APAC,5175.171,919.971
2013-01-28,Home Office,EU,2892.51,-96.54
2013-11-05,Consumer,Africa,2832.96,311.52
2013-06-28,Corporate,APAC,2862.675,763.275
2011-11-07,Consumer,APAC,1822.08,564.84
2012-04-14,Consumer,APAC,5244.84,996.48
2014-10-14,Corporate,US,5083.96,1906.485
2012-01-28,Consumer,US,4297.644,-1862.3124
2011-04-05,Corporate,US,4164.05,83.281
2012-04-19,Corporate,APAC,4626.15,647.55
2011-12-27,Consumer,EMEA,2616.96,1151.4
2012-11-13,Home Office,LATAM,2221.8,622.02
2013-06-06,Consumer,APAC,3701.52,1036.08
2014-07-31,Corporate,EU,1869.588,186.948
2014-11-03,Corporate,US,2249.91,517.4793
2014-09-08,Corporate,EU,7958.58,3979.08
2014-01-31,Corporate,APAC,2565.594,28.404
2014-12-05,Consumer,Africa,3409.74,818.28
2012-08-08,Corporate,EMEA,1977.72,276.84
2011-10-29,Consumer,US,2735.952,341.994
2011-05-02,Corporate,APAC,2754.0,358.02
2013-02-27,Home Office,EU,5273.7,1898.4
2014-07-31,Consumer,LATAM,1713.84,445.52
2014-09-05,Consumer,LATAM,2106.496,526.496
2011-12-17,Corporate,APAC,1715.16,720.36
2011-03-14,Consumer,EU,3069.738,1364.238
2013-03-11,Home Office,US,4158.912,363.9048
2012-02-25,Consumer,APAC,1878.72,582.36
2011-12-28,Corporate,LATAM,1696.64,-148.46
2012-07-17,Corporate,EU,2402.865,763.155
2012-10-15,Consumer,US,2453.43,-350.49
2011-11-03,Corporate,APAC,2526.93,561.48
2011-12-12,Consumer,US,3610.848,135.4068
2011-09-14,Corporate,Africa,3817.26,1068.66
2011-09-14,Consumer,US,2799.96,1371.9804
2014-11-05,Corporate,US,7999.98,-3839.9904
2014-01-14,Consumer,EU,4141.02,1697.67
2011-01-10,Consumer,APAC,2875.095,511.095
